name,openset
samplenew3_00002702,"[satisfaction, pride]"
samplenew3_00002715,"[humorous, positive]"
samplenew3_00002721,"[dissatisfaction, annoyance, impatience, uninterest]"
samplenew3_00002797,"[positive, happiness, excitement, friendly, confident, in control]"
samplenew3_00002835,"[confused, uncertain, negative]"
samplenew3_00002845,"[dissatisfaction, distress]"
samplenew3_00002850,"[gratitude, respect, appreciation]"
samplenew3_00002854,"[disapproval, dissatisfaction, negativity, pressure]"
samplenew3_00002872,"[anger, frustration, disappointment, deception]"
samplenew3_00002875,"[angry, provocative, arrogant]"
samplenew3_00002896,"[concern, anxiety]"
samplenew3_00002908,"[intense emotions (fear, anxiety, nervousness), indifference, contempt]"
samplenew3_00002915,"[serious, tense]"
samplenew3_00002931,"[positive, caring, empathetic]"
samplenew3_00002941,"[angry, anxious]"
samplenew3_00002959,"[disappointment, frustration]"
samplenew3_00002977,"[care, warmth]"
samplenew3_00002984,"[anxious, nervous, emotional detachment]"
samplenew3_00002986,"[serious, important, formal, confident, optimistic]"
samplenew3_00003005,"[wronged, unjust, emphasis on innocence, dissatisfaction, anger]"
samplenew3_00003024,"[frustrated, annoyed, high emotional excitement]"
samplenew3_00003028,"[relaxed, indifferent, confident]"
samplenew3_00003041,"[ironic, sarcastic]"
samplenew3_00003056,"[positive, confident, enthusiastic, motivated, joyful]"
samplenew3_00003058,"[tense, fearful, desperate]"
samplenew3_00003063,[]
samplenew3_00003074,"[positive, serene, beauty, depth, vitality, richness]"
samplenew3_00003088,"[nervous, empathetic, sympathetic, concerned, interested]"
samplenew3_00003139,"[curious, interested]"
samplenew3_00003149,"[determination, courage, fearlessness, willingness to face difficulties, risk-taking, effort, sacrifice, pursuit of goals]"
samplenew3_00003157,"[sadness, dissatisfaction, pain]"
samplenew3_00003180,"[concern, dissatisfaction, anxiety, nervousness]"
samplenew3_00003235,"[encouraged, determined, peaceful]"
samplenew3_00003304,"[anxious, uneasy, dissatisfaction, discomfort]"
samplenew3_00003308,"[sadness, fear, despair, concern, encouragement]"
samplenew3_00003336,"[encouraging, advisory]"
samplenew3_00003357,"[happy, relaxed]"
samplenew3_00003371,[]
samplenew3_00003374,"[helplessness, confusion, inner conflict, distress, despondency, despair]"
samplenew3_00003385,"[nervousness, detachment, anxiety, introspection]"
samplenew3_00003393,"[sadness, longing, nostalgia, confusion]"
samplenew3_00003399,"[angry, frustrated, worried]"
samplenew3_00003403,"[confused, doubtful, surprised, puzzled]"
samplenew3_00003511,"[dissatisfaction, self-blame, frustration, anger, anxiety, overwhelm]"
samplenew3_00003517,"[determined, courageous]"
samplenew3_00003531,[]
samplenew3_00003533,"[excited, anticipation, positive, formal, work-related]"
samplenew3_00003540,"[excited, determined, loyal, filial, respectful, traditional]"
samplenew3_00003547,"[appreciation, liking, positive]"
samplenew3_00003561,"[anxiety, confusion, uncertainty]"
samplenew3_00003562,"[expectation, concern, worry, uncertainty]"
samplenew3_00003594,"[serious, focused, contemplative, strategic, uncertain, concerned, tense]"
samplenew3_00003604,"[angry, frustrated]"
samplenew3_00003623,"[firm, positive]"
samplenew3_00003625,"[dissatisfaction, hurt, dissatisfaction, complaint]"
samplenew3_00003632,[]
samplenew3_00003634,"[excited, enthusiastic, happy, joyful]"
samplenew3_00003639,"[confused, anxious, helpless]"
samplenew3_00003640,"[anger, threat, seriousness]"
samplenew3_00003695,"[introspective, reflective, encouraging, concerned, sad]"
samplenew3_00003700,"[anxiety, nervousness]"
samplenew3_00003746,"[tense, concerned, distressed, sad]"
samplenew3_00003761,"[anger, dissatisfaction]"
samplenew3_00003768,"[angry, frustrated]"
samplenew3_00003782,"[encouragement, support, contemplation, concern]"
samplenew3_00003794,"[firm, strong, serious, determined]"
samplenew3_00003822,"[neutral, indifferent, nonchalant]"
samplenew3_00003825,"[unwilling, reluctant, tense, anxious]"
samplenew3_00003858,"[tension, anxiety, dissatisfaction]"
samplenew3_00003860,"[anger, dissatisfaction, unhappiness, offense, fear, anxiety]"
samplenew3_00003861,"[sadness, frustration, anger]"
samplenew3_00003873,"[confused, contemplative, sarcastic, mocking]"
samplenew3_00003893,"[excitement, inner reflection, emotional urgency]"
samplenew3_00003901,"[remorse, self-blame, regret, emotional distress]"
samplenew3_00003923,"[relaxed, humorous, positive]"
samplenew3_00003957,"[happy, relaxed]"
samplenew3_00003963,"[pride, confidence, praise, affirmation]"
samplenew3_00004025,"[admiration, excitement, positive]"
samplenew3_00004031,"[admiration, appreciation, positive]"
samplenew3_00004091,"[regret, disappointment]"
samplenew3_00004101,"[pessimistic, despair, helplessness]"
samplenew3_00004107,"[high tension, pressure]"
samplenew3_00004142,"[cheerful, friendly]"
samplenew3_00004150,"[anxiety, stress, inner restlessness, agitation]"
samplenew3_00004166,"[anger, sadness, anxiety, irritability, worry, anger, deep thought, surprise, astonishment, excitement]"
samplenew3_00004175,"[questioning, challenging, uncertainty, inadequacy, provocation, mockery, seriousness, anxiety]"
samplenew3_00004182,"[positive, happy, satisfied, fear, anxiety]"
samplenew3_00004210,[]
samplenew3_00004216,"[excited, anxious, competitive, superior]"
samplenew3_00004217,"[positive, humorous, sarcastic]"
samplenew3_00004245,"[release, relief]"
samplenew3_00004250,"[admiration, praise, support, positive]"
samplenew3_00004251,"[impatient, angry, frustrated]"
samplenew3_00004267,"[delighted, satisfied]"
samplenew3_00004269,"[nervous, anxious, inferior, self-doubting]"
samplenew3_00004273,"[indifferent, nonchalant]"
samplenew3_00004339,"[excited, surprised, positive]"
samplenew3_00004390,"[admiration, praise, positive, comfortable, relaxed]"
samplenew3_00004395,"[confused, unhappy, serious]"
samplenew3_00004433,"[positive, firm, persuasive]"
samplenew3_00004441,"[happy, positive emotions]"
samplenew3_00004482,"[negative, despondent, despairing, helpless, hopeless]"
samplenew3_00004501,"[excited, satisfied, positive]"
samplenew3_00004514,"[sadness, despair, helplessness]"
samplenew3_00004541,"[sad, nostalgic, longing]"
samplenew3_00004573,"[dissatisfaction, disappointment]"
samplenew3_00004588,"[fear, anxiety, negative, pain, endurance]"
samplenew3_00004605,"[frustrated, disappointed, helpless, powerless, negative, despondent]"
samplenew3_00004674,"[anger, dissatisfaction]"
samplenew3_00004688,"[positive, hopeful, satisfied, warm, happy]"
samplenew3_00004692,"[anticipation, excitement, curiosity]"
samplenew3_00004708,"[worry, distress]"
samplenew3_00004719,"[encouragement, motivation, confidence, determination]"
samplenew3_00004727,"[sadness, helplessness, despair, frustration]"
samplenew3_00004747,"[calm, rational]"
samplenew3_00004748,"[excited, anticipatory, nervous, tense, doubtful, questioning, challenging, dissatisfied, mistrustful]"
samplenew3_00004752,"[appreciation, cherishment, pride, accomplishment, curiosity, anticipation, commitment]"
samplenew3_00004760,"[positive, satisfaction, love, fondness]"
samplenew3_00004765,"[anxiety, fear, pride, confidence, hope, positive emotion]"
samplenew3_00004766,"[anger, dissatisfaction]"
samplenew3_00004781,"[positive expectation, hope]"
samplenew3_00004797,"[anger, dissatisfaction]"
samplenew3_00004800,"[bitter, sad, distress, dissatisfaction]"
samplenew3_00004801,"[uncertainty, boredom, confusion]"
samplenew3_00004809,"[urgent, excited]"
samplenew3_00004812,"[anxious, depressed, angry]"
samplenew3_00004837,"[angry, dissatisfied]"
samplenew3_00004861,"[exhausted, stressed, anxious]"
samplenew3_00004867,"[longing, sadness, nostalgia]"
samplenew3_00004895,[]
samplenew3_00004901,"[excited, satisfied]"
samplenew3_00004902,[]
samplenew3_00004903,"[anger, frustration]"
samplenew3_00004928,"[sadness, anger, boredom]"
samplenew3_00004944,"[concerned, anxious]"
samplenew3_00004995,"[satisfied, appreciative, pleased]"
samplenew3_00005022,"[anger, frustration]"
samplenew3_00005111,"[excited, satisfied, positive]"
samplenew3_00005114,"[excited, anxious, happy]"
samplenew3_00005121,"[excited, enthusiastic]"
samplenew3_00005130,"[sarcastic, disdainful]"
samplenew3_00005133,"[happy, satisfied]"
samplenew3_00005138,"[anxiety, sadness, confusion, helplessness]"
samplenew3_00005143,"[surprised, sad, grateful, appreciative]"
samplenew3_00005144,"[positive, surprise, excitement]"
samplenew3_00005155,"[contemplation, anger, humor, loss, sadness]"
samplenew3_00005182,"[encouraging, appreciative]"
samplenew3_00005221,"[anxiety, agitation, dissatisfaction]"
samplenew3_00005246,"[blame, criticism, contemplative, introspective, burden, let go]"
samplenew3_00005253,"[serious, focused, contemplative, proud, admiring]"
samplenew3_00005254,"[tension, anxiety, panic, unease, concern]"
samplenew3_00005258,"[anxious, nervous, concerned, determined, tense, urgent]"
samplenew3_00005270,"[tension, anxiety, sense of urgency, concern]"
samplenew3_00005288,"[calm, determined, neutral, indifferent]"
samplenew3_00005289,"[difficult, emotional, sadness, grief]"
samplenew3_00005291,"[anticipation, excitement, nervousness]"
samplenew3_00005297,"[calm, composed, relief]"
samplenew3_00005307,"[unhappy, disappointed, worried, determined, positive]"
samplenew3_00005309,"[anger, disappointment]"
samplenew3_00005310,"[disappointment, frustration]"
samplenew3_00005318,"[disappointment, blame, dissatisfaction, criticism, anxiety, nervousness, overwhelming]"
samplenew3_00005383,"[excitement, anticipation]"
samplenew3_00005396,"[teasing, humorous, positive]"
samplenew3_00005450,"[anxious, uncertain, worried]"
samplenew3_00005454,"[anxious, nervous, stressed]"
samplenew3_00005464,"[confusion, challenge, responsibility, inner conflict]"
samplenew3_00005502,"[neutral, intense emotional distress]"
samplenew3_00005538,"[encouraged, supportive]"
samplenew3_00005540,"[anger, frustration, dissatisfaction]"
samplenew3_00005560,"[sadness, despair]"
samplenew3_00005574,"[focused, excited]"
samplenew3_00005581,"[angry, sad]"
samplenew3_00005586,"[urgency, anxiety, pressure]"
samplenew3_00005590,"[angry, frustrated, dissatisfied]"
samplenew3_00005612,"[concerned, anxious]"
samplenew3_00005614,"[careful, concerned, cautious]"
samplenew3_00005624,"[relief, relaxation, comfort, satisfaction]"
samplenew3_00005626,"[anger, frustration, dissatisfaction]"
samplenew3_00005631,"[anger, dissatisfaction]"
samplenew3_00005646,"[gratitude, appreciation, emotional, stressed, negative]"
samplenew3_00005650,"[surprised, admiring, relaxed, positive]"
samplenew3_00005660,"[inviting, inquiring, positive]"
samplenew3_00005707,"[comforting, supportive, committed, reassuring]"
samplenew3_00005710,"[light, humorous, positive]"
samplenew3_00005736,"[blame, challenge, determination, pressure, tension]"
samplenew3_00005746,"[positive, excited, confident, enthusiastic]"
samplenew3_00005768,"[excited, enthusiastic, amused]"
samplenew3_00005779,"[pride, satisfaction, confidence, excitement]"
samplenew3_00005799,"[tense, concerned, troubled]"
samplenew3_00005827,"[motivational, morale-boosting, serious, focused]"
samplenew3_00005853,"[disappointed, frustrated, regretful]"
samplenew3_00005857,"[dissatisfaction, self-pity]"
samplenew3_00005897,[]
samplenew3_00005908,"[calm, composed, confident]"
samplenew3_00005910,"[desire, need for approval, sadness]"
samplenew3_00005916,"[suspicion, mistrust, concern]"
samplenew3_00005948,"[urgency, impatience, expectation, request, positivity]"
samplenew3_00005959,"[dissatisfaction, disappointment, anxiety, stress, frustration]"
samplenew3_00005963,"[anger, frustration]"
samplenew3_00005981,[confident]
samplenew3_00006016,"[dissatisfaction, concern]"
samplenew3_00006046,"[respect, admiration, appreciation]"
samplenew3_00006083,"[calm, composed, respectful, humble]"
samplenew3_00006095,"[nervous, concerned]"
samplenew3_00006165,"[contented, appreciative]"
samplenew3_00006168,"[contentment, happiness]"
samplenew3_00006183,"[passionate, committed, emotional, tense, advocating, emphasizing, focused]"
samplenew3_00006185,"[excited, anticipating, positive]"
samplenew3_00006201,"[tension, anxiety, anger]"
samplenew3_00006234,"[urgent, intense, passionate, determined, concern, worry]"
samplenew3_00006249,"[excited, anxious, surprised, disbelief]"
samplenew3_00006277,"[distress, pressure, anxiety, tension]"
samplenew3_00006284,"[joyful, relaxed, happy, laughter]"
samplenew3_00006285,[]
samplenew3_00006286,"[anger, disgust]"
samplenew3_00006353,"[confidence, firmness]"
samplenew3_00006363,"[concerned, questioning]"
samplenew3_00006403,"[expectation, request, confidence, high expectations, hope, support, contribution]"
samplenew3_00006443,"[anxious, stressed, responsible, concerned]"
samplenew3_00006447,"[disappointment, frustration, dissatisfaction, defeat, seriousness, tension]"
samplenew3_00006457,"[satisfaction, relief]"
samplenew3_00006470,"[anger, frustration]"
samplenew3_00006484,"[Melancholic, Positive, Hopeful]"
samplenew3_00006488,"[tiredness, relaxation]"
samplenew3_00006523,"[anxiety, discomfort, uncertainty, lack of confidence]"
samplenew3_00006530,"[self-blame, frustration]"
samplenew3_00006533,"[nervous, excited]"
samplenew3_00006540,"[despair, helplessness, overwhelm, frustration]"
samplenew3_00006542,"[anxiety, irritability, feeling under pressure, dissatisfaction, unhappiness]"
samplenew3_00006624,"[angry, furious, dissatisfaction]"
samplenew3_00006694,"[anxious, nervous, overwhelmed, pressured, sad, angry, helpless, dissatisfaction, confusion]"
samplenew3_00006698,"[determination, courage, fearlessness]"
samplenew3_00006701,"[confused, concerned, worried, uneasy]"
samplenew3_00006728,"[disappointment, sadness, regret, dissatisfaction]"
samplenew3_00006730,"[anger, determination]"
samplenew3_00006739,"[concern, worry]"
samplenew3_00006741,"[urgent, important, significant, decision, action, proposed, in, urgent, situation]"
samplenew3_00006743,"[anxiety, pressure, unease]"
samplenew3_00006756,"[frustrated, confused, dissatisfied]"
samplenew3_00006833,"[concern, worry, sadness]"
samplenew3_00006851,"[sadness, anxiety, reassurance, comfort]"
samplenew3_00006890,"[dissatisfaction, determination, resolve, anger, sadness, disappointment]"
samplenew3_00006924,"[positive, happiness, excitement, enthusiasm]"
samplenew3_00006933,"[serious, resolute]"
samplenew3_00006938,"[frustration, disappointment, anger, irritability, anxiety, stress]"
samplenew3_00006940,"[anger, disappointment]"
samplenew3_00006954,"[worried, uncertain, anxious]"
samplenew3_00006970,"[tired, exhausted, negative]"
samplenew3_00006975,"[appreciation, admiration, praise]"
samplenew3_00006991,"[sadness, frustration, anger, despair, hopelessness]"
samplenew3_00007004,"[anxiety, distress]"
samplenew3_00007013,"[anger, frustration]"
samplenew3_00007040,"[positive, optimistic]"
samplenew3_00007055,"[sadness, disbelief, self-blame, self-reproach]"
samplenew3_00007056,"[emotionally numb, indifferent, sluggish, depressed, bothered, dissatisfied]"
samplenew3_00007057,"[frustration, irritation, dissatisfaction, impatience]"
samplenew3_00007066,"[hopeful, optimistic, satisfied]"
samplenew3_00007075,"[friendly, inclusive, open-minded, curious, engaging, approachable, likable]"
samplenew3_00007084,"[angry, regretful, firm, stable, confident]"
samplenew3_00007114,"[joy, satisfaction, comfort, encouragement]"
samplenew3_00007116,"[anger, frustration, disappointment, dissatisfaction, despair]"
samplenew3_00007119,"[serious, contemplative]"
samplenew3_00007166,"[sadness, pain, respect, self-deprecation]"
samplenew3_00007175,"[pain, sadness, tension, anxiety, excitement, enthusiasm]"
samplenew3_00007183,"[cautious, protective, positive]"
samplenew3_00007214,"[fear, panic, anxiety]"
samplenew3_00007222,"[tense, anxious]"
samplenew3_00007228,"[frustrated, angry, overwhelmed, pressured, dissatisfied]"
samplenew3_00007235,"[relaxed, encouraging, positive, happiness]"
samplenew3_00007238,"[confused, unable to comprehend, involved, detail-oriented, frustrated, dissatisfied]"
samplenew3_00007247,"[anticipation, excitement, nervousness, anxiety]"
samplenew3_00007275,"[angry, provoked]"
samplenew3_00007279,"[friendly, enthusiastic, caring, affectionate, light-hearted, happy]"
samplenew3_00007283,"[excitement, anticipation, nervousness, sincere, friendly]"
samplenew3_00007313,"[jealousy, sadness, depression, indifference]"
samplenew3_00007325,"[surprised, confused, puzzled, doubtful, questioning]"
samplenew3_00007343,"[angry, fearful]"
samplenew3_00007357,"[tension, anxiety, shock]"
samplenew3_00007368,"[friendly, warm]"
samplenew3_00007369,"[blame, criticism, dissatisfaction, disappointment, frustration, stress, anxiety]"
samplenew3_00007397,[]
samplenew3_00007435,"[frustrated, confused]"
samplenew3_00007452,"[anger, sadness, determination, confusion, hope]"
samplenew3_00007460,"[happy, satisfied, nostalgic]"
samplenew3_00007491,"[excited, nervous]"
samplenew3_00007496,"[pride, satisfaction]"
samplenew3_00007544,"[anger, frustration, sarcasm]"
samplenew3_00007563,"[worry, concern, tension]"
samplenew3_00007567,"[anxiety, fear, worry, confusion]"
samplenew3_00007572,"[surprised, shocked, anger, sadness]"
samplenew3_00007599,"[serious, confident, anxious, nervous, stressed]"
samplenew3_00007629,"[anger, provocation]"
samplenew3_00007655,"[curiosity, excitement, pressure, anticipation, enthusiasm]"
samplenew3_00007681,"[anger, frustration, dissatisfaction, disappointment]"
samplenew3_00007694,"[worry, nervousness]"
samplenew3_00007697,[]
samplenew3_00007708,"[serious, focused, calm, happy, satisfied, content]"
samplenew3_00007744,"[anticipation, excitement]"
samplenew3_00007770,"[friendly, affectionate, happy]"
samplenew3_00007772,[depressed]
samplenew3_00007777,"[dissatisfaction, anger]"
samplenew3_00007778,"[positive emotions, excitement, curiosity, anticipation]"
samplenew3_00007797,"[urgency, anxiety, persuasive, angry, happiness]"
samplenew3_00007805,"[surprised, amused, sarcastic]"
samplenew3_00007827,"[appreciative, blessing, formal, respectful, composed]"
samplenew3_00007830,"[anger, frustration]"
samplenew3_00007849,"[positive, praising, complimentary]"
samplenew3_00007881,"[anger, frustration]"
samplenew3_00007886,"[anger, disappointment]"
samplenew3_00007888,"[warning, unfavorable prediction, negative]"
samplenew3_00007890,"[proud, satisfied, positive]"
samplenew3_00007895,"[concern, warning, fear, anxiety, nervousness, surprise, disbelief]"
samplenew3_00007903,"[displeased, indifferent, critical, sarcastic]"
samplenew3_00007910,"[concern, distrust]"
samplenew3_00007914,"[tension, concern, warning]"
samplenew3_00007931,"[anger, frustration]"
samplenew3_00007959,"[positive, determination, confidence]"
samplenew3_00007975,"[impatience, anxiety, frustration, stress]"
samplenew3_00007976,"[frustration, anger, disappointment, disillusionment]"
samplenew3_00007983,"[anxiety, depression, sadness, contemplation]"
samplenew3_00007985,"[anxious, defensive]"
samplenew3_00007987,"[excited, positive]"
samplenew3_00008011,"[strong demand, expectation, anxiety, pressure]"
samplenew3_00008020,"[worried, uneasy, troubled, conflicted]"
samplenew3_00008051,"[anger, frustration]"
